Категория;Подкатегория 2;Подкатегория 3;Артикул;Артикул модификации;Имя товара;Категория (полный путь);Цена;Дата продажи;Цена старая;Цена закупки;Количество;Описание;Краткое описание;Производитель;Вес;Meta title;Meta keywords;Meta description;Фото (через пробел);Ссылки на фото (через пробел);Ссылка на товар на источнике;Характеристики (HTML/Table);Вид;Тип;Интерфейс подключения;Количество каналов;Аудиочип;Поддержка стандартов;Поддержка ASIO;Разрядность;Макс. частота дискретизации;Соотношение сигнал/шум;Дополнительно;mini-Jack (3.5 мм);Оптический S/P-DIF;RCA;Поддержка Mac;Дополнительное питание;Динамический диапазон;Коаксиальный S/P-DIF;Jack (6.35 мм);Для iPhone/iPod/iPad;MIDI;Поколение связи;Технология передачи;Оператор (провайдер);Функции/возможности;Подключение и разъемы;Питание;Габариты;Вес;Скорость подключения Wi-Fi;Радиус действия;Кол-во подключаемых устройств;Ёмкость аккумулятора;Время работы в режиме интернет-серфинга;Время работы в режиме ожидания
Компьютерная техника;Комплектующие;Звуковые карты;346779;;Звуковая карта Asus Xonar U3;Компьютерная техника->Комплектующие->Звуковые карты;2145;17.11.2021;;;10;"Ультракомпактная звуковая карта, которая может послужить отличным решением для ноутбука. Устройство не многим больше обычной флэшки, подключается к компьютеру через USB-порт. Располагает удобными световыми индикаторами работы, а также разъёмами для акустики и микрофона. Способна обеспечить объёмный 5.1-канальный звук. Отдельного внимания заслуживает встроенный усилитель для наушников. <div rel=""v:rating""><span typeof=""v:Rating"">Рейтинг модели: <span property='v:value'>4</span> из <span property=""v:best"">5</span> (<span property=""v:count"">35</span> оценок)</span></div>";;Asus;0;;;;346779_2146641838.jpg ecdkault8n1_-822163504.jpg;http://magazilla.ru/jpg_zoom1/346779.jpg http://mzimg.com/big/n1/ecdkault8n1.jpg;http://magazilla.ru/desc/asus-xonar-u3/;"<table>

<tr>

<td>Вид</td><td>обычная</td>
</tr>

<tr>

<td>Тип</td><td>внешняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>USB</td>
</tr>

<tr>

<td>Количество каналов</td><td>5.1 / цифровой /</td>
</tr>

<tr>

<td>Аудиочип</td><td>UA100</td>
</tr>

<tr>

<td>Поддержка стандартов</td><td>Dolby Digital, DirectSound 3D</td>
</tr>

<tr>

<td>Разрядность</td><td>16 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>48 кГц</td>
</tr>

<tr>

<td>Соотношение сигнал/шум</td><td>100 дБ</td>
</tr>

<tr>

<td>Дополнительно</td><td>Усилитель для наушников</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>1 / линейный/микрофон /</td>
</tr>

<tr>

<td>Оптический S/P-DIF</td><td>1 / адаптер /</td>
</tr>

</table>

";обычная;внешняя;USB;5.1 / цифровой /;UA100;Dolby Digital, DirectSound 3D;;16 бит;48 кГц;100 дБ;Усилитель для наушников;1 / линейный/микрофон /;1 / адаптер /;;;;;;;;;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;346205;;Звуковая карта Creative Sound Blaster ZxR;Компьютерная техника->Комплектующие->Звуковые карты;14452,9;23.11.2019;;;7;"Флагман в семействе продвинутых геймерских звуковых карт Sound Blaster серии Z. В отличие от младших моделей, оборудован более качественными преобразователями и предусилителями. Располагает привлекательным и функциональным внешним блоком управления, также может похвастаться дополнительной платой DBpro. Поддержка технологии CrystalVoice обеспечивает максимально чистую запись звука. Реализована возможность вывода на внешний ресивер закодированного на лету 5.1-канального звука. Что касается соотношения сигнал/шум, то производителем заявлено высочайшее значение в 124 дБ. <div rel=""v:rating""><span typeof=""v:Rating"">Рейтинг модели: <span property='v:value'>4</span> из <span property=""v:best"">5</span> (<span property=""v:count"">34</span> оценки)</span></div>";;Creative;0;;;;346205_-811645325.jpg ec1rmnx4ri1_1803396937.jpg ec1rn46gwv1_-1969126313.jpg;http://magazilla.ru/jpg_zoom1/346205.jpg http://mzimg.com/big/i1/ec1rmnx4ri1.jpg http://mzimg.com/big/v1/ec1rn46gwv1.jpg;http://magazilla.ru/desc/creative-sound-blaster-zxr/;"<table>

<tr>

<td>Вид</td><td>геймерская</td>
</tr>

<tr>

<td>Тип</td><td>внутренняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>PCIe</td>
</tr>

<tr>

<td>Количество каналов</td><td>5.1</td>
</tr>

<tr>

<td>Аудиочип</td><td>Sound Core3D / CA0132 /</td>
</tr>

<tr>

<td>Поддержка стандартов</td><td>Dolby Digital Live, DTS, EAX 5.0 HD</td>
</tr>

<tr>

<td>Поддержка ASIO</td><td>да</td>
</tr>

<tr>

<td>Разрядность</td><td>24 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>192 кГц</td>
</tr>

<tr>

<td>Динамический диапазон</td><td>129 дБ</td>
</tr>

<tr>

<td>Соотношение сигнал/шум</td><td>124 дБ</td>
</tr>

<tr>

<td>Дополнительно</td><td>Внешний модуль управления</td>
</tr>

<tr>

<td>Jack (6.35 мм)</td><td>1 / микрофон /</td>
</tr>

<tr>

<td>RCA</td><td>2 / дополнительная плата /</td>
</tr>

<tr>

<td>Оптический S/P-DIF</td><td>1 / дополнительная плата /</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>2</td>
</tr>

</table>

";геймерская;внутренняя;PCIe;05.янв;Sound Core3D / CA0132 /;Dolby Digital Live, DTS, EAX 5.0 HD;да;24 бит;192 кГц;124 дБ;Внешний модуль управления;2;1 / дополнительная плата /;2 / дополнительная плата /;;;129 дБ;;1 / микрофон /;;;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;931032;;Звуковая карта Asus Xonar Essence STX II 7.1;Компьютерная техника->Комплектующие->Звуковые карты;19247,8;21.02.2022;;;13;"Соотношение сигнал/шум (дБ): 124; Макс. частота дискретизации (кГц): 192; Разрядность (бит): 24; Дополнительное питание; Количество каналов: 7.1; Интерфейс подключения: PCIe; Тип: внешняя; Вид: аудиофильская (Hi-Fi) <div rel=""v:rating""><span typeof=""v:Rating"">Рейтинг модели: <span property='v:value'>5</span> из <span property=""v:best"">5</span> (<span property=""v:count"">3</span> оценки)</span></div>";;Asus;0;;;;931032_-634918809.jpg f88400he841_-1263319236.jpg f88406ijfv1_854696285.jpg f8840f49ni1_-1643413943.jpg;http://magazilla.ru/jpg_zoom1/931032.jpg http://mzimg.com/big/41/f88400he841.jpg http://mzimg.com/big/v1/f88406ijfv1.jpg http://mzimg.com/big/i1/f8840f49ni1.jpg;http://magazilla.ru/desc/asus-xonar-essence-stx-ii-7-1/;"<table>

<tr>

<td>Вид</td><td>аудиофильская (Hi-Fi)</td>
</tr>

<tr>

<td>Тип</td><td>внешняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>PCIe</td>
</tr>

<tr>

<td>Количество каналов</td><td>7.1</td>
</tr>

<tr>

<td>Аудиочип</td><td>ASUS AV100</td>
</tr>

<tr>

<td>Поддержка ASIO</td><td>да / 2.0 /</td>
</tr>

<tr>

<td>Дополнительное питание</td><td>да</td>
</tr>

<tr>

<td>Разрядность</td><td>24 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>192 кГц</td>
</tr>

<tr>

<td>Соотношение сигнал/шум</td><td>124 дБ</td>
</tr>

<tr>

<td>Jack (6.35 мм)</td><td>1</td>
</tr>

<tr>

<td>RCA</td><td>8</td>
</tr>

<tr>

<td>Коаксиальный S/P-DIF</td><td>1</td>
</tr>

</table>

";аудиофильская (Hi-Fi);внешняя;PCIe;07.янв;ASUS AV100;;да / 2.0 /;24 бит;192 кГц;124 дБ;;;;8;;да;;1;1;;;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;506003;;Звуковая карта Asus Xonar U5;Компьютерная техника->Комплектующие->Звуковые карты;3969,9;31.05.2021;;;8;"Соотношение сигнал/шум (дБ): 104; Макс. частота дискретизации (кГц): 192; Разрядность (бит): 24; Поддержка Mac; Количество каналов: 5.1; Интерфейс подключения: USB; Тип: внешняя; Вид: обычная <div rel=""v:rating""><span typeof=""v:Rating"">Рейтинг модели: <span property='v:value'>3</span> из <span property=""v:best"">5</span> (<span property=""v:count"">4</span> оценки)</span></div>";;Asus;0;;;;506003_-109488855.jpg enn5nmbqfk1_1778325916.jpg enn5ofumsg1_1175337152.jpg;http://magazilla.ru/jpg_zoom1/506003.jpg http://mzimg.com/big/k1/enn5nmbqfk1.jpg http://mzimg.com/big/g1/enn5ofumsg1.jpg;http://magazilla.ru/desc/asus-xonar-u5/;"<table>

<tr>

<td>Вид</td><td>обычная</td>
</tr>

<tr>

<td>Тип</td><td>внешняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>USB</td>
</tr>

<tr>

<td>Количество каналов</td><td>5.1</td>
</tr>

<tr>

<td>Аудиочип</td><td>C-Media CM6631A</td>
</tr>

<tr>

<td>Поддержка ASIO</td><td>да</td>
</tr>

<tr>

<td>Поддержка Mac</td><td>да</td>
</tr>

<tr>

<td>Разрядность</td><td>24 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>192 кГц</td>
</tr>

<tr>

<td>Динамический диапазон</td><td>104 дБ</td>
</tr>

<tr>

<td>Соотношение сигнал/шум</td><td>104 дБ</td>
</tr>

<tr>

<td>Дополнительно</td><td>Усилитель для наушников</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>1</td>
</tr>

<tr>

<td>Коаксиальный S/P-DIF</td><td>1</td>
</tr>

</table>

";обычная;внешняя;USB;05.янв;C-Media CM6631A;;да;24 бит;192 кГц;104 дБ;Усилитель для наушников;1;;;да;;104 дБ;1;;;;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;931018;;Звуковая карта Asus Xonar Essence STX II;Компьютерная техника->Комплектующие->Звуковые карты;18403;09.02.2018;;;9;"Соотношение сигнал/шум (дБ): 124; Макс. частота дискретизации (кГц): 192; Разрядность (бит): 24; Дополнительное питание; Количество каналов: 2; Интерфейс подключения: PCIe; Тип: внутренняя; Вид: аудиофильская (Hi-Fi)";;Asus;0;;;;931018_1357129201.jpg f883qsh5oc1_376276104.jpg;http://magazilla.ru/jpg_zoom1/931018.jpg http://mzimg.com/big/c1/f883qsh5oc1.jpg;http://magazilla.ru/desc/asus-xonar-essence-stx-ii/;"<table>

<tr>

<td>Вид</td><td>аудиофильская (Hi-Fi)</td>
</tr>

<tr>

<td>Тип</td><td>внутренняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>PCIe</td>
</tr>

<tr>

<td>Количество каналов</td><td>2</td>
</tr>

<tr>

<td>Аудиочип</td><td>ASUS AV100</td>
</tr>

<tr>

<td>Поддержка ASIO</td><td>да / 2.0 /</td>
</tr>

<tr>

<td>Дополнительное питание</td><td>да</td>
</tr>

<tr>

<td>Разрядность</td><td>24 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>192 кГц</td>
</tr>

<tr>

<td>Соотношение сигнал/шум</td><td>124 дБ</td>
</tr>

<tr>

<td>Jack (6.35 мм)</td><td>1</td>
</tr>

<tr>

<td>RCA</td><td>2</td>
</tr>

<tr>

<td>Коаксиальный S/P-DIF</td><td>1</td>
</tr>

</table>

";аудиофильская (Hi-Fi);внутренняя;PCIe;2;ASUS AV100;;да / 2.0 /;24 бит;192 кГц;124 дБ;;;;2;;да;;1;1;;;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;358277;;Звуковая карта Hama 7.1 Surround USB;Компьютерная техника->Комплектующие->Звуковые карты;757,9;14.04.2019;;;4;"Макс. частота дискретизации (кГц): 44.1; Разрядность (бит): 16; Количество каналов: 7.1; Интерфейс подключения: USB; Тип: внешняя; Вид: обычная <div rel=""v:rating""><span typeof=""v:Rating"">Рейтинг модели: <span property='v:value'>3</span> из <span property=""v:best"">5</span> (<span property=""v:count"">7</span> оценок)</span></div>";;Hama;0;;;;358277_2072455024.jpg edhyrx51zc1_-1576898090.jpg;http://magazilla.ru/jpg_zoom1/358277.jpg http://mzimg.com/big/c1/edhyrx51zc1.jpg;http://magazilla.ru/desc/hama-7-1-surround-usb/;"<table>

<tr>

<td>Вид</td><td>обычная</td>
</tr>

<tr>

<td>Тип</td><td>внешняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>USB</td>
</tr>

<tr>

<td>Количество каналов</td><td>7.1</td>
</tr>

<tr>

<td>Поддержка стандартов</td><td>XeaR, Virtual Surround Sound</td>
</tr>

<tr>

<td>Разрядность</td><td>16 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>44.1 кГц</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>1</td>
</tr>

</table>

";обычная;внешняя;USB;07.янв;;XeaR, Virtual Surround Sound;;16 бит;44.1 кГц;;;1;;;;;;;;;;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;346895;;Звуковая карта Creative Sound Blaster Zx;Компьютерная техника->Комплектующие->Звуковые карты;9592;09.02.2019;;;8;"Геймерская звуковая карта класса Hi-End, средняя модель в семействе Sound Blaster Z. В отличие от базовой модификации, может похвастаться удобным внешним блоком управления с регулятором громкости, встроенным микрофоном и дополнительным разъёмом под наушники. В основе устройства находится звуковой процессор Sound Core3D, соотношение сигнал/шум составляет 116 дБ, что обеспечивает практически кристально чистое звучание. Также отметим поддержку таких технологических решений, как Dolby Digital Live, ASIO и CrystalVoice. <div rel=""v:rating""><span typeof=""v:Rating"">Рейтинг модели: <span property='v:value'>4</span> из <span property=""v:best"">5</span> (<span property=""v:count"">10</span> оценок)</span></div>";;Creative;0;;;;346895_-965204640.jpg ecdo4utyiw1_-1531255807.jpg;http://magazilla.ru/jpg_zoom1/346895.jpg http://mzimg.com/big/w1/ecdo4utyiw1.jpg;http://magazilla.ru/desc/creative-sound-blaster-zx/;"<table>

<tr>

<td>Вид</td><td>геймерская</td>
</tr>

<tr>

<td>Тип</td><td>внутренняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>PCIe</td>
</tr>

<tr>

<td>Количество каналов</td><td>5.1</td>
</tr>

<tr>

<td>Аудиочип</td><td>Sound Core3D</td>
</tr>

<tr>

<td>Поддержка стандартов</td><td>DTS Connect, Dolby Digital Live</td>
</tr>

<tr>

<td>Поддержка ASIO</td><td>да</td>
</tr>

<tr>

<td>Разрядность</td><td>24 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>192 кГц</td>
</tr>

<tr>

<td>Соотношение сигнал/шум</td><td>116 дБ</td>
</tr>

<tr>

<td>Дополнительно</td><td>Усилитель для наушников, Внешний модуль управления</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>1 / линейный/микрофон /</td>
</tr>

<tr>

<td>Оптический S/P-DIF</td><td>1</td>
</tr>

</table>

";геймерская;внутренняя;PCIe;05.янв;Sound Core3D;DTS Connect, Dolby Digital Live;да;24 бит;192 кГц;116 дБ;Усилитель для наушников, Внешний модуль управления;1 / линейный/микрофон /;1;;;;;;;;;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;346326;;Звуковая карта Creative Sound Blaster Play;Компьютерная техника->Комплектующие->Звуковые карты;1926,1;08.12.2018;;;11;"Компактная, недорогая и простая в использовании внешняя звуковая карта, предназначенная для усиления и повышения качества выдаваемого персональным компьютером или ноутбуком звукового сигнала. Может похвастаться поддержкой технологии EAX Advanced HD, которая используется в большинстве современных компьютерных играх. В основе устройства находятся 16-битные преобразователи с максимальной частота дискретизации 48 кГц. <div rel=""v:rating""><span typeof=""v:Rating"">Рейтинг модели: <span property='v:value'>4</span> из <span property=""v:best"">5</span> (<span property=""v:count"">37</span> оценок)</span></div>";;Creative;0;;;;346326_746423293.jpg;http://magazilla.ru/jpg_zoom1/346326.jpg;http://magazilla.ru/desc/creative-sound-blaster-play/;"<table>

<tr>

<td>Вид</td><td>обычная</td>
</tr>

<tr>

<td>Тип</td><td>внешняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>USB</td>
</tr>

<tr>

<td>Количество каналов</td><td>2</td>
</tr>

<tr>

<td>Поддержка стандартов</td><td>EAX</td>
</tr>

<tr>

<td>Разрядность</td><td>16 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>48 кГц</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>1 / линейный/микрофон /</td>
</tr>

</table>

";обычная;внешняя;USB;2;;EAX;;16 бит;48 кГц;;;1 / линейный/микрофон /;;;;;;;;;;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;346046;;Звуковая карта Asus Xonar DSX;Компьютерная техника->Комплектующие->Звуковые карты;3795;15.08.2022;;;3;"Модель среднего уровня в семействе геймерских звуковых карт линейки Xonar. Может похвастаться поддержкой 7.1-канального звука, совместимостью со стандартом DTS, а также встроенным усилителем для наушников с тремя режимами работы для различных приложений. Реализован специальный обработчик аудиоэффектов GX 2.5, что, впрочем, является классическим решением для подобного класса устройств от Аsus. Заявленное соотношение сигнал/шум находится на уровне до 107 дБ. Тип установки внутренний, интерфейс подключения – PCIе. <div rel=""v:rating""><span typeof=""v:Rating"">Рейтинг модели: <span property='v:value'>4</span> из <span property=""v:best"">5</span> (<span property=""v:count"">18</span> оценок)</span></div>";;Asus;0;;;;346046_1366807295.jpg ebyk0s5lnh1_563718441.jpg;http://magazilla.ru/jpg_zoom1/346046.jpg http://mzimg.com/big/h1/ebyk0s5lnh1.jpg;http://magazilla.ru/desc/asus-xonar-dsx/;"<table>

<tr>

<td>Вид</td><td>геймерская</td>
</tr>

<tr>

<td>Тип</td><td>внутренняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>PCIe</td>
</tr>

<tr>

<td>Количество каналов</td><td>7.1</td>
</tr>

<tr>

<td>Аудиочип</td><td>ASUS AV66</td>
</tr>

<tr>

<td>Поддержка стандартов</td><td>DTS</td>
</tr>

<tr>

<td>Поддержка ASIO</td><td>да</td>
</tr>

<tr>

<td>Разрядность</td><td>24 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>192 кГц</td>
</tr>

<tr>

<td>Соотношение сигнал/шум</td><td>107 дБ</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>1 / линейный/микрофон /</td>
</tr>

<tr>

<td>Оптический S/P-DIF</td><td>1</td>
</tr>

</table>

";геймерская;внутренняя;PCIe;07.янв;ASUS AV66;DTS;да;24 бит;192 кГц;107 дБ;;1 / линейный/микрофон /;1;;;;;;;;;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;615137;;Звуковая карта Creative Sound Blaster E1;Компьютерная техника->Комплектующие->Звуковые карты;3808,2;18.08.2018;;;7;"Макс. частота дискретизации (кГц): 44.1; Разрядность (бит): 24; Для iPhone/iPod/iPad; Поддержка Mac; Количество каналов: 2; Интерфейс подключения: USB; Тип: внешняя; Вид: обычная";;Creative;0;;;;615137_110459428.jpg eu2cxkb2ka1_778215655.jpg;http://magazilla.ru/jpg_zoom1/615137.jpg http://mzimg.com/big/a1/eu2cxkb2ka1.jpg;http://magazilla.ru/desc/creative-sound-blaster-e1/;"<table>

<tr>

<td>Вид</td><td>обычная</td>
</tr>

<tr>

<td>Тип</td><td>внешняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>USB</td>
</tr>

<tr>

<td>Количество каналов</td><td>2</td>
</tr>

<tr>

<td>Поддержка Mac</td><td>да</td>
</tr>

<tr>

<td>Для iPhone/iPod/iPad</td><td>да</td>
</tr>

<tr>

<td>Разрядность</td><td>24 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>44.1 кГц</td>
</tr>

<tr>

<td>Дополнительно</td><td>Усилитель для наушников</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>2</td>
</tr>

</table>

";обычная;внешняя;USB;2;;;;24 бит;44.1 кГц;;Усилитель для наушников;2;;;да;;;;;да;;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;345984;;Звуковая карта Asus Xonar D2;Компьютерная техника->Комплектующие->Звуковые карты;11363;24.11.2020;;;10;"Достаточно продвинутая звуковая карта потребительского класса, облачённая в привлекательный корпус с разноцветной подсветкой. Модель способна обеспечить воспроизведение звука в формате 7.1 при соотношении сигнал/шум 118 дБ на каждом канале. Может похвастаться поддержкой технологий ASIO, Dolby Digital и DTS, что весьма важно для качественного и объёмного звучания в компьютерных играх или во время просмотра фильмов. Набор портов примечательный 4 выходами mini-Jack, а также цифровым входом и выходом S/PDIF. На рынке представлена аналогичная модификация под интерфейс PCIе – Xonar D2X. <div rel=""v:rating""><span typeof=""v:Rating"">Рейтинг модели: <span property='v:value'>4</span> из <span property=""v:best"">5</span> (<span property=""v:count"">20</span> оценок)</span></div>";;Asus;0;;;;345984_474941110.jpg ebyezjtqbv1_-618603043.jpg;http://magazilla.ru/jpg_zoom1/345984.jpg http://mzimg.com/big/v1/ebyezjtqbv1.jpg;http://magazilla.ru/desc/asus-xonar-d2/;"<table>

<tr>

<td>Вид</td><td>геймерская</td>
</tr>

<tr>

<td>Тип</td><td>внутренняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>PCI</td>
</tr>

<tr>

<td>Количество каналов</td><td>7.1</td>
</tr>

<tr>

<td>Аудиочип</td><td>ASUS AV200</td>
</tr>

<tr>

<td>Поддержка стандартов</td><td>Dolby Digital, DTS</td>
</tr>

<tr>

<td>Поддержка ASIO</td><td>да</td>
</tr>

<tr>

<td>Разрядность</td><td>24 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>192 кГц</td>
</tr>

<tr>

<td>Динамический диапазон</td><td>96 дБ</td>
</tr>

<tr>

<td>Соотношение сигнал/шум</td><td>118 дБ</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>2 / линейный/микрофон /</td>
</tr>

<tr>

<td>Коаксиальный S/P-DIF</td><td>1</td>
</tr>

<tr>

<td>MIDI</td><td>1 / на дополнительной планке /</td>
</tr>

</table>

";геймерская;внутренняя;PCI;07.янв;ASUS AV200;Dolby Digital, DTS;да;24 бит;192 кГц;118 дБ;;2 / линейный/микрофон /;;;;;96 дБ;1;;;1 / на дополнительной планке /;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;346827;;Звуковая карта Creative Sound Blaster Audigy SE;Компьютерная техника->Комплектующие->Звуковые карты;1628;25.05.2019;;;4;"Соотношение сигнал/шум (дБ): 100; Макс. частота дискретизации (кГц): 96; Разрядность (бит): 24; Количество каналов: 7.1; Интерфейс подключения: PCI; Тип: внутренняя; Вид: обычная <div rel=""v:rating""><span typeof=""v:Rating"">Рейтинг модели: <span property='v:value'>4</span> из <span property=""v:best"">5</span> (<span property=""v:count"">53</span> оценки)</span></div>";;Creative;0;;;;346827_628720637.jpg;http://magazilla.ru/jpg_zoom1/346827.jpg;http://magazilla.ru/desc/creative-sound-blaster-audigy-se/;"<table>

<tr>

<td>Вид</td><td>обычная</td>
</tr>

<tr>

<td>Тип</td><td>внутренняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>PCI</td>
</tr>

<tr>

<td>Количество каналов</td><td>7.1</td>
</tr>

<tr>

<td>Аудиочип</td><td>CA-0106</td>
</tr>

<tr>

<td>Поддержка стандартов</td><td>EAX ADVANCED HD 3.0</td>
</tr>

<tr>

<td>Разрядность</td><td>24 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>96 кГц</td>
</tr>

<tr>

<td>Соотношение сигнал/шум</td><td>100 дБ</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>1 / линейный/микрофон /</td>
</tr>

</table>

";обычная;внутренняя;PCI;07.янв;CA-0106;EAX ADVANCED HD 3.0;;24 бит;96 кГц;100 дБ;;1 / линейный/микрофон /;;;;;;;;;;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;346276;;Звуковая карта AudioQuest Dragonfly DAC;Компьютерная техника->Комплектующие->Звуковые карты;10230;27.01.2018;;;14;"Макс. частота дискретизации (кГц): 96; Разрядность (бит): 24; Поддержка Mac; Количество каналов: 2; Интерфейс подключения: USB; Тип: внешняя; Вид: ЦАП";;AudioQuest;0;;;;346276_358426542.jpg ec1x8ynh6q1_1598449932.jpg;http://magazilla.ru/jpg_zoom1/346276.jpg http://mzimg.com/big/q1/ec1x8ynh6q1.jpg;http://magazilla.ru/desc/audioquest-dragonfly-dac/;"<table>

<tr>

<td>Вид</td><td>ЦАП</td>
</tr>

<tr>

<td>Тип</td><td>внешняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>USB</td>
</tr>

<tr>

<td>Количество каналов</td><td>2</td>
</tr>

<tr>

<td>Аудиочип</td><td>Texas Instruments TAS1020</td>
</tr>

<tr>

<td>Поддержка Mac</td><td>да</td>
</tr>

<tr>

<td>Разрядность</td><td>24 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>96 кГц</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>1</td>
</tr>

</table>

";ЦАП;внешняя;USB;2;Texas Instruments TAS1020;;;24 бит;96 кГц;;;1;;;да;;;;;;;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;1183114;;Звуковая карта Creative Sound BlasterX G1;Компьютерная техника->Комплектующие->Звуковые карты;3146;02.08.2020;;;7;"Соотношение сигнал/шум (дБ): 93; Макс. частота дискретизации (кГц): 96; Разрядность (бит): 24; Поддержка Mac; Количество каналов: 7.1; Интерфейс подключения: USB; Тип: внешняя; Вид: обычная";;Creative;0;;;;1183114_1765491848.jpg fifw6nsfao1_365411187.jpg fifw6oj4u91_1494357149.jpg fifw6o4npr1_-1980189190.jpg fifw6o8gkf1_2019169085.jpg;http://magazilla.ru/jpg_zoom1/1183114.jpg http://mzimg.com/big/o1/fifw6nsfao1.jpg http://mzimg.com/big/91/fifw6oj4u91.jpg http://mzimg.com/big/r1/fifw6o4npr1.jpg http://mzimg.com/big/f1/fifw6o8gkf1.jpg;http://magazilla.ru/desc/creative-sound-blasterx-g1/;"<table>

<tr>

<td>Вид</td><td>обычная</td>
</tr>

<tr>

<td>Тип</td><td>внешняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>USB</td>
</tr>

<tr>

<td>Количество каналов</td><td>7.1</td>
</tr>

<tr>

<td>Аудиочип</td><td>BlasterX Acoustic Engine Pro</td>
</tr>

<tr>

<td>Поддержка стандартов</td><td>X-Plus, Scout Mode</td>
</tr>

<tr>

<td>Поддержка Mac</td><td>да</td>
</tr>

<tr>

<td>Разрядность</td><td>24 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>96 кГц</td>
</tr>

<tr>

<td>Соотношение сигнал/шум</td><td>93 дБ</td>
</tr>

<tr>

<td>Дополнительно</td><td>Усилитель для наушников</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>1</td>
</tr>

</table>

";обычная;внешняя;USB;07.янв;BlasterX Acoustic Engine Pro;X-Plus, Scout Mode;;24 бит;96 кГц;93 дБ;Усилитель для наушников;1;;;да;;;;;;;;;;;;;;;;;;;;
